names,scores,logfoldchanges,pvals,pvals_adj,Cell_Type,n_tumor,n_normal
TRBC2,22.592037,0.8684869,5.1898114913396665e-113,6.363676480355393e-111,CD4+ T Cells,11933,5424
MYL12B,21.443712,0.67487514,5.22740066754836e-102,5.909004707715409e-100,CD4+ T Cells,11933,5424
HSPA1B,21.368498,1.4625213,2.6244322926720422e-101,2.943636499431921e-99,CD4+ T Cells,11933,5424
GIMAP7,21.13028,0.9584755,4.190570892815044e-99,4.558900018657208e-97,CD4+ T Cells,11933,5424
IGLC2,20.612751,4.7170978,2.1089460355294808e-94,2.1952762725234576e-92,CD4+ T Cells,11933,5424
GNAS,19.994822,0.9983062,6.109633439134877e-89,6.0965714641960365e-87,CD4+ T Cells,11933,5424
ANXA1,19.913574,0.92826015,3.1035654858586723e-88,3.0757184256773373e-86,CD4+ T Cells,11933,5424
IL2RG,18.9045,2.434546,1.0472813952362872e-79,9.590578802325215e-78,CD4+ T Cells,11933,5424
CYBA,18.859259,0.5683594,2.466558020005033e-79,2.24456779820458e-77,CD4+ T Cells,11933,5424
CKLF,18.587679,1.6434594,4.042986700278358e-77,3.5888327954802185e-75,CD4+ T Cells,11933,5424
PPP2R5C,17.448362,0.9005464,3.54249024438835e-68,2.847571741447502e-66,CD4+ T Cells,11933,5424
LGALS3,17.442348,1.7735957,3.935662541160747e-68,3.146138193815185e-66,CD4+ T Cells,11933,5424
EMP3,16.898169,0.9102387,4.641015555735528e-64,3.4974403164550703e-62,CD4+ T Cells,11933,5424
RNF213,16.84526,0.96805394,1.13665902417723e-63,8.521409026331784e-62,CD4+ T Cells,11933,5424
S100A10,16.714134,0.61156,1.0341188954978495e-62,7.63401341783591e-61,CD4+ T Cells,11933,5424
HNRNPH1,16.650967,1.2973617,2.977556071485503e-62,2.1869166902702408e-60,CD4+ T Cells,11933,5424
ETS1,16.56363,0.724468,1.276567451567051e-61,9.328613361981646e-60,CD4+ T Cells,11933,5424
ALOX5AP,16.418564,0.9739818,1.4086047753938117e-60,1.019055124758653e-58,CD4+ T Cells,11933,5424
GNAI2,16.204845,1.2725294,4.660620676839369e-59,3.273520416174215e-57,CD4+ T Cells,11933,5424
ARPC1B,16.169914,1.0498371,8.221237081456038e-59,5.718898044787857e-57,CD4+ T Cells,11933,5424
RORA,16.06755,0.8961123,4.307775401636689e-58,2.9822584825971894e-56,CD4+ T Cells,11933,5424
XIST,15.879131,2.4349685,8.839406191030247e-57,6.0045712759632225e-55,CD4+ T Cells,11933,5424
ARL6IP5,15.508658,0.6383987,3.0314638588761225e-54,2.021301869773208e-52,CD4+ T Cells,11933,5424
RPL23,15.4946165,0.54336596,3.772032687513473e-54,2.4921251577914357e-52,CD4+ T Cells,11933,5424
AAK1,15.478639,0.8432315,4.835984885145243e-54,3.1805393319621145e-52,CD4+ T Cells,11933,5424
CCL5,15.419136,1.2852762,1.2172101995522844e-53,7.897674608664576e-52,CD4+ T Cells,11933,5424
CRIP1,15.349332,0.88551426,3.5785550766982305e-53,2.3012494846554087e-51,CD4+ T Cells,11933,5424
CDC42,15.254178,0.75382096,1.5442676434993495e-52,9.843175565547176e-51,CD4+ T Cells,11933,5424
GIMAP4,15.20158,0.84725624,3.451925911056052e-52,2.171561565524783e-50,CD4+ T Cells,11933,5424
CLIC1,15.097863,0.6143266,1.672675036665183e-51,1.0342707310046381e-49,CD4+ T Cells,11933,5424
TXNIP,14.954705,0.50214726,1.4512323044362444e-50,8.859865068729123e-49,CD4+ T Cells,11933,5424
GPR171,14.914093,1.9879824,2.668789970249197e-50,1.622467314266203e-48,CD4+ T Cells,11933,5424
SRRM2,14.8356,0.9952049,8.623015167857315e-50,5.1556366307325415e-48,CD4+ T Cells,11933,5424
CFLAR,14.69477,1.1740417,6.963423480729968e-49,4.112398952762526e-47,CD4+ T Cells,11933,5424
CAPG,14.471449,2.0644665,1.835641605734328e-47,1.0623959357347996e-45,CD4+ T Cells,11933,5424
CACYBP,14.3631525,0.83654845,8.812509784196395e-47,5.080008130180783e-45,CD4+ T Cells,11933,5424
PNISR,14.244867,0.84518266,4.824617889262832e-46,2.7701347714184095e-44,CD4+ T Cells,11933,5424
UBL5,14.136334,0.511097,2.2679344157634182e-45,1.2919190181764132e-43,CD4+ T Cells,11933,5424
CLEC2B,13.861179,0.8328378,1.0886994206349301e-43,6.129335376329496e-42,CD4+ T Cells,11933,5424
PSME2,13.858288,0.7684932,1.1334628619852055e-43,6.356617887621682e-42,CD4+ T Cells,11933,5424
LCP1,13.757646,0.6543663,4.582079999617003e-43,2.5597727997860393e-41,CD4+ T Cells,11933,5424
RGS1,13.439418,0.7418281,3.552204567591895e-41,1.9177928316599675e-39,CD4+ T Cells,11933,5424
PSMB9,13.300958,0.70822203,2.285213734999436e-40,1.2156160857245162e-38,CD4+ T Cells,11933,5424
KLRB1,13.245301,0.5381767,4.803528252716081e-40,2.518197474222789e-38,CD4+ T Cells,11933,5424
NDUFB8,13.241236,2.5505362,5.070788615517267e-40,2.648709042524164e-38,CD4+ T Cells,11933,5424
SET,12.969619,0.77438366,1.8193389185287338e-38,9.140282920900086e-37,CD4+ T Cells,11933,5424
PRDM1,12.958021,1.5039835,2.1163664555863936e-38,1.0595746105840668e-36,CD4+ T Cells,11933,5424
ERN1,12.84279,1.0265734,9.440959517192925e-38,4.678124768981658e-36,CD4+ T Cells,11933,5424
GZMA,12.801103,2.3868115,1.6163936121622977e-37,7.982115759172794e-36,CD4+ T Cells,11933,5424
CDV3,12.762883,1.2480057,2.64237094495623e-37,1.3004239864820303e-35,CD4+ T Cells,11933,5424
NDUFA13,12.458468,1.1257886,1.2576286906942607e-35,6.065543175218419e-34,CD4+ T Cells,11933,5424
CD81,12.368655,1.7894479,3.862327073393841e-35,1.8443567797008413e-33,CD4+ T Cells,11933,5424
CDC42SE2,12.315707,0.7359072,7.455833123244042e-35,3.525439524843727e-33,CD4+ T Cells,11933,5424
TXN,12.302308,0.8168247,8.802241905116701e-35,4.13505318588096e-33,CD4+ T Cells,11933,5424
ANXA2,12.182274,1.5046911,3.863555230530712e-34,1.7887573417041687e-32,CD4+ T Cells,11933,5424
RUNX3,11.851905,1.2178779,2.103529162379945e-32,9.51123857827357e-31,CD4+ T Cells,11933,5424
ARL4C,11.846847,0.6837112,2.234428005998858e-32,1.007163203077803e-30,CD4+ T Cells,11933,5424
PSMA2,11.810318,4.157626,3.4525416523285796e-32,1.551392085948516e-30,CD4+ T Cells,11933,5424
AHNAK,11.650709,0.82077676,2.2755614273552425e-31,9.828387549971046e-30,CD4+ T Cells,11933,5424
BIRC3,11.646915,0.78118765,2.3791604359165387e-31,1.0245259627165595e-29,CD4+ T Cells,11933,5424
DDX17,11.4318905,0.6654198,2.897325522492856e-30,1.2293666564501214e-28,CD4+ T Cells,11933,5424
ODF2L,11.338706,0.88368815,8.43828282589918e-30,3.5389424408097174e-28,CD4+ T Cells,11933,5424
NOP10,11.016192,0.78233683,3.1928149574829485e-28,1.3124102164721814e-26,CD4+ T Cells,11933,5424
JCHAIN,10.990587,2.072016,4.241555240045045e-28,1.7385570189295113e-26,CD4+ T Cells,11933,5424
TNFRSF25,10.916487,1.2998068,9.6143418878999e-28,3.907581819551227e-26,CD4+ T Cells,11933,5424
PHPT1,10.885084,1.4179369,1.357731033198931e-27,5.502804011023903e-26,CD4+ T Cells,11933,5424
CD40LG,10.837653,0.6993258,2.282514379731119e-27,9.173805711202657e-26,CD4+ T Cells,11933,5424
GIMAP1,10.824869,1.5586784,2.624524895876694e-27,1.0519183024498584e-25,CD4+ T Cells,11933,5424
ACTR2,10.779568,0.82032853,4.2990136967116435e-27,1.7182991485558224e-25,CD4+ T Cells,11933,5424
CCR6,10.708578,0.91924286,9.277598419950127e-27,3.687845371930175e-25,CD4+ T Cells,11933,5424
SYNE2,10.665575,0.77806145,1.4748367711057818e-26,5.830440776264907e-25,CD4+ T Cells,11933,5424
CCL20,10.453604,2.4010413,1.4106041718014088e-25,5.428199936647496e-24,CD4+ T Cells,11933,5424
NDUFB2,10.352347,0.5771348,4.08347206417709e-25,1.550754784687095e-23,CD4+ T Cells,11933,5424
IGHA2,10.317058,2.0242767,5.900345935838298e-25,2.229036693097763e-23,CD4+ T Cells,11933,5424
HSPA6,10.292365,2.841328,7.627923729214606e-25,2.87417782390641e-23,CD4+ T Cells,11933,5424
HNRNPA3,10.229304,0.5113823,1.4656888010804274e-24,5.479858207450311e-23,CD4+ T Cells,11933,5424
TANK,10.183218,1.0875554,2.3563795456998455e-24,8.719809628319966e-23,CD4+ T Cells,11933,5424
LGALS1,10.131976,1.4542443,3.985135643635424e-24,1.4634753205015468e-22,CD4+ T Cells,11933,5424
YWHAH,10.121565,1.1063906,4.432695893090194e-24,1.6237133386613169e-22,CD4+ T Cells,11933,5424
CD63,10.036991,1.2957387,1.0482278442490253e-23,3.801205182566202e-22,CD4+ T Cells,11933,5424
CXCR6,9.978411,2.4447598,1.894773552370941e-23,6.853869632313786e-22,CD4+ T Cells,11933,5424
RPS27L,9.93939,0.6886531,2.805391082009027e-23,1.007225894927757e-21,CD4+ T Cells,11933,5424
NDUFA3,9.931592,0.5903172,3.0337164624028705e-23,1.0865060270917606e-21,CD4+ T Cells,11933,5424
EVI2B,9.83476,1.7000772,7.975801628153373e-23,2.821561705568488e-21,CD4+ T Cells,11933,5424
VMP1,9.828439,0.8899901,8.492510095741009e-23,2.99702752622626e-21,CD4+ T Cells,11933,5424
ANXA5,9.801305,1.0474383,1.11140717132723e-22,3.903143291731478e-21,CD4+ T Cells,11933,5424
CHMP4A,9.731406,1.7996638,2.215088051054083e-22,7.722917833903982e-21,CD4+ T Cells,11933,5424
TTC39C,9.728856,0.7992627,2.271337381419046e-22,7.899995329748119e-21,CD4+ T Cells,11933,5424
CARD16,9.686969,0.95057124,3.4254344820986464e-22,1.1857084096049118e-20,CD4+ T Cells,11933,5424
PSMA1,9.572107,0.9546319,1.047486705658463e-21,3.582998852050189e-20,CD4+ T Cells,11933,5424
ACTN4,9.493194,1.5201467,2.2406228123028376e-21,7.610228044884919e-20,CD4+ T Cells,11933,5424
GNG5,9.463107,0.57655144,2.989269690280439e-21,1.010554746464198e-19,CD4+ T Cells,11933,5424
GPBP1,9.451884,0.65628594,3.3278666783624386e-21,1.1197884411447936e-19,CD4+ T Cells,11933,5424
SEPT7,9.417486,0.521113,4.620164234701566e-21,1.5403031408271189e-19,CD4+ T Cells,11933,5424
VAMP8,9.348176,0.55274653,8.917197780582209e-21,2.9660444755688273e-19,CD4+ T Cells,11933,5424
BATF,9.339374,0.7156486,9.690589161384016e-21,3.2158975820198466e-19,CD4+ T Cells,11933,5424
MAF,9.331239,1.4676296,1.0464051657670099e-20,3.456720626365951e-19,CD4+ T Cells,11933,5424
NDUFC2,9.328808,2.1294756,1.0706883746900291e-20,3.5208613848613706e-19,CD4+ T Cells,11933,5424
CHURC1,9.276323,0.82392347,1.7542711393343562e-20,5.755680071435102e-19,CD4+ T Cells,11933,5424
CD82,9.210686,1.2703848,3.240487515361865e-20,1.0536317721296814e-18,CD4+ T Cells,11933,5424
CLDND1,9.179216,0.9499128,4.342405739482748e-20,1.408750418039818e-18,CD4+ T Cells,11933,5424
FLNA,9.129092,0.8129576,6.90761385737862e-20,2.230943413000251e-18,CD4+ T Cells,11933,5424
IER5,9.04795,1.181575,1.456778515684933e-19,4.673642648214034e-18,CD4+ T Cells,11933,5424
CTSC,9.025001,0.8736,1.7969450006472955e-19,5.739513733855567e-18,CD4+ T Cells,11933,5424
HSPB1,9.002645,0.67529696,2.2034483069803884e-19,6.991599463530535e-18,CD4+ T Cells,11933,5424
ABHD17A,8.996916,1.3630828,2.3214828373060405e-19,7.35000769649477e-18,CD4+ T Cells,11933,5424
IGLC3,8.989952,5.183059,2.473371784486911e-19,7.79677916116364e-18,CD4+ T Cells,11933,5424
FKBP11,8.92437,0.7149445,4.482432682816701e-19,1.3977654846481648e-17,CD4+ T Cells,11933,5424
C1orf56,8.915564,3.7689698,4.853402499398145e-19,1.5069502309826557e-17,CD4+ T Cells,11933,5424
YPEL3,8.858681,0.76858664,8.096657973912584e-19,2.4925647707349183e-17,CD4+ T Cells,11933,5424
DNAJB4,8.827759,1.0873904,1.0679361050381974e-18,3.273721928770695e-17,CD4+ T Cells,11933,5424
TNFSF13B,8.807814,2.0751271,1.276104585676981e-18,3.903585042317175e-17,CD4+ T Cells,11933,5424
H1FX,8.803797,0.6465446,1.3226357882989343e-18,4.0373875993454183e-17,CD4+ T Cells,11933,5424
TNFRSF18,8.738819,2.0001237,2.3555996335130283e-18,7.1303705224477e-17,CD4+ T Cells,11933,5424
TCF25,8.691996,0.618763,3.561274099473842e-18,1.0690471980350005e-16,CD4+ T Cells,11933,5424
RBPJ,8.690009,1.039055,3.624117503343024e-18,1.0856595477405844e-16,CD4+ T Cells,11933,5424
NKG7,8.66427,1.95579,4.544147420969797e-18,1.3556550316291132e-16,CD4+ T Cells,11933,5424
DRAP1,8.632258,0.56727105,6.015235587015408e-18,1.7871549016124423e-16,CD4+ T Cells,11933,5424
PPP1R18,8.622582,0.6992963,6.54605698982296e-18,1.9408790693800903e-16,CD4+ T Cells,11933,5424
SLA,8.603766,0.65868473,7.714197677222743e-18,2.2778923712599157e-16,CD4+ T Cells,11933,5424
OXNAD1,8.596625,0.6003404,8.209446743992478e-18,2.419195212603404e-16,CD4+ T Cells,11933,5424
TNFRSF4,8.562754,1.2411793,1.1020301063606581e-17,3.240909270108204e-16,CD4+ T Cells,11933,5424
TAF10,8.506749,1.1311885,1.7887865509591093e-17,5.218135606013579e-16,CD4+ T Cells,11933,5424
PTP4A2,8.470225,0.60484284,2.449191721187455e-17,7.101674351475207e-16,CD4+ T Cells,11933,5424
CLEC2D,8.46376,0.5666663,2.588907978342233e-17,7.491781907726754e-16,CD4+ T Cells,11933,5424
IQGAP1,8.407607,0.6864587,4.184612795420282e-17,1.1989537136026942e-15,CD4+ T Cells,11933,5424
PPP1R14B,8.399683,3.22871,4.4768518380602526e-17,1.2801495898200356e-15,CD4+ T Cells,11933,5424
ARPC5,8.380165,0.55131793,5.2853326495941646e-17,1.5083526253841808e-15,CD4+ T Cells,11933,5424
HNRNPD,8.360788,1.0460325,6.23004653340147e-17,1.7691910628823304e-15,CD4+ T Cells,11933,5424
CTSH,8.360676,2.3314772,6.236004161102968e-17,1.7691910628823304e-15,CD4+ T Cells,11933,5424
TRBC1,8.250561,0.5757963,1.5765282769939718e-16,4.429279153364229e-15,CD4+ T Cells,11933,5424
MINOS1,8.227605,0.68776226,1.9099339623559274e-16,5.355588081652696e-15,CD4+ T Cells,11933,5424
MDM4,8.219735,1.2554585,2.039526558728666e-16,5.6968937795839905e-15,CD4+ T Cells,11933,5424
STAT1,8.219151,1.0366668,2.0494988903081422e-16,5.713718582633624e-15,CD4+ T Cells,11933,5424
TMEM50A,8.170124,0.5392968,3.080715881845274e-16,8.490452970365576e-15,CD4+ T Cells,11933,5424
OSTF1,8.124445,0.63086784,4.494138872963597e-16,1.222287506633652e-14,CD4+ T Cells,11933,5424
ATXN7,8.120899,4.503865,4.62742752549218e-16,1.2561772770421455e-14,CD4+ T Cells,11933,5424
PIP4K2A,8.024058,1.4138591,1.0230799305184562e-15,2.746371709586557e-14,CD4+ T Cells,11933,5424
IKZF3,8.020092,0.89883417,1.0566597520789646e-15,2.8312611023760255e-14,CD4+ T Cells,11933,5424
GABPB1,7.9811616,1.5377738,1.4496270753292853e-15,3.8556349545844544e-14,CD4+ T Cells,11933,5424
MACF1,7.9306436,0.7856775,2.180131630883226e-15,5.756263607162298e-14,CD4+ T Cells,11933,5424
BST2,7.916425,0.65356153,2.444364520906076e-15,6.430456409634548e-14,CD4+ T Cells,11933,5424
EMB,7.9145265,0.67917854,2.481958501844245e-15,6.517505909833826e-14,CD4+ T Cells,11933,5424
NDUFB1,7.865435,0.5658089,3.678166040377419e-15,9.641192833011028e-14,CD4+ T Cells,11933,5424
GLS,7.8135624,0.88515556,5.559379111336696e-15,1.4467384237757312e-13,CD4+ T Cells,11933,5424
C4orf48,7.8091636,0.95424294,5.756872984088446e-15,1.4954433609834063e-13,CD4+ T Cells,11933,5424
PPP1CB,7.7995243,0.6090123,6.214106712035272e-15,1.6113245522659204e-13,CD4+ T Cells,11933,5424
ITGB1,7.7927327,1.347998,6.557518357218711e-15,1.6973297515312618e-13,CD4+ T Cells,11933,5424
EFHD2,7.791705,1.3235654,6.6110949525347574e-15,1.7081416583611679e-13,CD4+ T Cells,11933,5424
CCL4,7.7697935,1.5346276,7.861420335031344e-15,2.0239660289602938e-13,CD4+ T Cells,11933,5424
RABAC1,7.762216,0.6761152,8.345798275245868e-15,2.1410523979527033e-13,CD4+ T Cells,11933,5424
MBD2,7.756513,2.0546012,8.729621910582162e-15,2.2355557420214745e-13,CD4+ T Cells,11933,5424
CBX3,7.749333,0.66884327,9.23764657353143e-15,2.361475411173609e-13,CD4+ T Cells,11933,5424
AHSA1,7.7117815,0.7341841,1.2407331274421611e-14,3.1605928910141956e-13,CD4+ T Cells,11933,5424
IFI16,7.6931334,0.64420325,1.4357470737399693e-14,3.644530598235722e-13,CD4+ T Cells,11933,5424
PCSK7,7.651812,1.1359997,1.981666210005442e-14,5.012714753945584e-13,CD4+ T Cells,11933,5424
NKTR,7.5792503,0.693053,3.475573250802777e-14,8.655433625794385e-13,CD4+ T Cells,11933,5424
NDUFA11,7.527123,0.8111679,5.187056533292718e-14,1.2829319825677324e-12,CD4+ T Cells,11933,5424
SPCS2,7.514081,0.527838,5.73120195255055e-14,1.415098311458258e-12,CD4+ T Cells,11933,5424
NABP1,7.5100155,0.8101943,5.912033956215206e-14,1.4572609763624842e-12,CD4+ T Cells,11933,5424
GALM,7.474868,1.1862284,7.72814482505699e-14,1.9016756373086664e-12,CD4+ T Cells,11933,5424
NDUFB3,7.444461,0.78814536,9.73412154469276e-14,2.3912224894763928e-12,CD4+ T Cells,11933,5424
ARPC4,7.438898,1.628712,1.0152844990088098e-13,2.489856172230249e-12,CD4+ T Cells,11933,5424
PLP2,7.4310822,0.53345853,1.0771254952404982e-13,2.6370437886014835e-12,CD4+ T Cells,11933,5424
TYMP,7.3853736,1.1746309,1.5202583447626758e-13,3.690707716505228e-12,CD4+ T Cells,11933,5424
COPE,7.371629,0.5164159,1.6855514246502052e-13,4.071493082347883e-12,CD4+ T Cells,11933,5424
ANP32E,7.3712373,0.87701553,1.6905182025500111e-13,4.076684645449352e-12,CD4+ T Cells,11933,5424
BHLHE40,7.364812,1.339556,1.7739682724463943e-13,4.2708064782074676e-12,CD4+ T Cells,11933,5424
ANKRD28,7.3368134,1.4864236,2.1873925711778187e-13,5.239964091452294e-12,CD4+ T Cells,11933,5424
ID2,7.310392,0.5378902,2.663646040975125e-13,6.338864237971889e-12,CD4+ T Cells,11933,5424
RPS6KA3,7.2711606,1.0605493,3.564120754846707e-13,8.440141276902947e-12,CD4+ T Cells,11933,5424
DNPH1,7.270515,0.7933686,3.581193639553386e-13,8.466714178218618e-12,CD4+ T Cells,11933,5424
GNB1,7.1626225,1.2546268,7.914802665032767e-13,1.8560661225341834e-11,CD4+ T Cells,11933,5424
IFI44,7.15948,1.9957364,8.098351302177455e-13,1.896036326718537e-11,CD4+ T Cells,11933,5424
CHORDC1,7.150408,0.6445311,8.652049484550743e-13,2.0191371611607212e-11,CD4+ T Cells,11933,5424
POLR2J3,7.140043,2.5824022,9.330190456582268e-13,2.16377228757455e-11,CD4+ T Cells,11933,5424
FMNL1,7.1400213,0.777614,9.331632507060054e-13,2.16377228757455e-11,CD4+ T Cells,11933,5424
TLN1,7.126792,0.71013707,1.0273523554385358e-12,2.374562496939325e-11,CD4+ T Cells,11933,5424
KLF13,7.101944,1.0673755,1.2301415357576542e-12,2.8297166742253576e-11,CD4+ T Cells,11933,5424
CTSD,7.1002197,1.8651768,1.245584920773299e-12,2.8606933680426767e-11,CD4+ T Cells,11933,5424
ADAM19,7.098725,1.568164,1.2591328771688176e-12,2.8872256101039023e-11,CD4+ T Cells,11933,5424
BRI3,7.077135,1.4645243,1.4716499309320638e-12,3.3585651184000046e-11,CD4+ T Cells,11933,5424
HECA,7.0706673,1.1228263,1.5419027747336031e-12,3.5133529523811813e-11,CD4+ T Cells,11933,5424
HIPK1,7.067115,1.1429758,1.5818795857605505e-12,3.593126487656108e-11,CD4+ T Cells,11933,5424
CEBPD,7.0525208,2.08744,1.7570507733740359e-12,3.978523887315951e-11,CD4+ T Cells,11933,5424
REEP5,6.9972706,0.6232048,2.6099688260278977e-12,5.854827743224442e-11,CD4+ T Cells,11933,5424
PABPN1,6.9923224,1.1291564,2.7037231410036942e-12,6.046394146396052e-11,CD4+ T Cells,11933,5424
CD58,6.9754324,1.378806,3.049309900293354e-12,6.766942476586585e-11,CD4+ T Cells,11933,5424
CAST,6.9461613,0.5412671,3.753599514444963e-12,8.279090148552465e-11,CD4+ T Cells,11933,5424
FURIN,6.9373894,2.3278751,3.994118969334851e-12,8.782812669803338e-11,CD4+ T Cells,11933,5424
LUC7L3,6.925452,0.626145,4.345846583930458e-12,9.512867507245053e-11,CD4+ T Cells,11933,5424
SRI,6.918019,0.503929,4.580033555225819e-12,1.0010348264435404e-10,CD4+ T Cells,11933,5424
TNRC6B,6.888898,0.59975576,5.622634305804312e-12,1.2215299665267656e-10,CD4+ T Cells,11933,5424
CCDC107,6.8755717,0.66271955,6.174173604731322e-12,1.3353380850053439e-10,CD4+ T Cells,11933,5424
TMBIM4,6.869186,1.4985209,6.4569413740329375e-12,1.3944102200131728e-10,CD4+ T Cells,11933,5424
FAM89B,6.867795,1.6828631,6.520178823376632e-12,1.4059682175176824e-10,CD4+ T Cells,11933,5424
UBE2M,6.866793,2.143384,6.566106263113367e-12,1.4137647547765968e-10,CD4+ T Cells,11933,5424
ARL6IP1,6.8486547,0.80449766,7.454754725850834e-12,1.5979680907901588e-10,CD4+ T Cells,11933,5424
CASP8,6.8211384,0.73422617,9.032179326263824e-12,1.9218618039957541e-10,CD4+ T Cells,11933,5424
IGHG1,6.8068027,5.3255167,9.979167333742044e-12,2.1171344890309918e-10,CD4+ T Cells,11933,5424
TIMP1,6.78011,0.78769314,1.2008460065499496e-11,2.536502316608937e-10,CD4+ T Cells,11933,5424
CEBPB,6.7796507,0.82064295,1.2046686538479876e-11,2.540867456636521e-10,CD4+ T Cells,11933,5424
CASP1,6.7781177,1.0220104,1.2175154518125485e-11,2.5604987023656637e-10,CD4+ T Cells,11933,5424
CSNK2B,6.7758775,1.3876126,1.2365343342108883e-11,2.5967221018428655e-10,CD4+ T Cells,11933,5424
BLOC1S1,6.762156,0.82323587,1.3595317394779873e-11,2.8467532183078146e-10,CD4+ T Cells,11933,5424
FAM129A,6.7596397,1.2746189,1.383354845279186e-11,2.888277237567755e-10,CD4+ T Cells,11933,5424
C12orf75,6.732551,1.9556471,1.6671368532712163e-11,3.470763040285069e-10,CD4+ T Cells,11933,5424
MYBL1,6.7188053,1.5785906,1.8322060589709148e-11,3.798021413646155e-10,CD4+ T Cells,11933,5424
APOL6,6.6773825,1.2496641,2.4324720146937647e-11,5.020747158431395e-10,CD4+ T Cells,11933,5424
IGHG3,6.663395,8.57221,2.6757348992873304e-11,5.514986931308886e-10,CD4+ T Cells,11933,5424
SRSF9,6.646129,0.51614666,3.009014448006875e-11,6.193091045264791e-10,CD4+ T Cells,11933,5424
KMT2A,6.5961,0.8204437,4.221149987730336e-11,8.663236762052515e-10,CD4+ T Cells,11933,5424
MXD4,6.5875745,1.892199,4.470690986763289e-11,9.162383553467142e-10,CD4+ T Cells,11933,5424
IFI27L2,6.579834,0.9146314,4.709737791391784e-11,9.63864159881863e-10,CD4+ T Cells,11933,5424
RASGRP1,6.5343966,1.5456481,6.386655037098374e-11,1.297872355783376e-09,CD4+ T Cells,11933,5424
MRPL34,6.4873166,0.6833545,8.737854548152246e-11,1.7608358977327972e-09,CD4+ T Cells,11933,5424
DOK2,6.4858017,0.5919736,8.82610753605915e-11,1.77367986026722e-09,CD4+ T Cells,11933,5424
IFI44L,6.474344,2.5777547,9.52249535189833e-11,1.9056844432450476e-09,CD4+ T Cells,11933,5424
MDFIC,6.4730544,1.155203,9.60413831013102e-11,1.9193684697415157e-09,CD4+ T Cells,11933,5424
ORAI1,6.413964,0.8113439,1.4178369692317887e-10,2.8025523371331625e-09,CD4+ T Cells,11933,5424
TMCO1,6.409078,0.55866706,1.4640221163399175e-10,2.8896103899151244e-09,CD4+ T Cells,11933,5424
MRPL41,6.3423057,0.5687153,2.263513508197612e-10,4.419807955480601e-09,CD4+ T Cells,11933,5424
UBALD2,6.3408465,0.8692034,2.2850594212339176e-10,4.4558658714061395e-09,CD4+ T Cells,11933,5424
TRADD,6.336132,0.6415009,2.356045440138335e-10,4.588105178110574e-09,CD4+ T Cells,11933,5424
PRELID1,6.3237214,0.51042914,2.5533799147359156e-10,4.9657061809561775e-09,CD4+ T Cells,11933,5424
ATP2B4,6.3018346,0.9783326,2.9414345296408824e-10,5.70504238731554e-09,CD4+ T Cells,11933,5424
PSMB3,6.2991023,0.5166939,2.9937466712275816e-10,5.7923217849402785e-09,CD4+ T Cells,11933,5424
HLA-DRB1,6.248187,1.6268508,4.15243946340366e-10,8.000219253793283e-09,CD4+ T Cells,11933,5424
LIMS1,6.2373676,0.5119002,4.4499477834889215e-10,8.550636717038673e-09,CD4+ T Cells,11933,5424
ZFAND2A,6.2331877,1.0777316,4.5703760689998303e-10,8.758777661239542e-09,CD4+ T Cells,11933,5424
ANKRD13D,6.209603,1.4486378,5.311862226276424e-10,1.0166314094179045e-08,CD4+ T Cells,11933,5424
