,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
IGHV3-33,0.9386,0.06140000000000001,2.7269794159949496,5.0312775e-07,2.4322658e-06,1e-07,0.5,-3.1175067,-3.2336712,1.9172946,-9.94326,4.378397,0.0,0.05883321,0.0,0.034482758620689655,0.0,0.8491449,True,Tumor vs Normal,Tumor,Normal
IGLV2-14,0.9472,0.05279999999999996,2.886998894581037,3.4937154e-06,2.4635021e-05,1e-07,0.5,-3.094134,-3.195858,1.8858243,-9.961715,4.4076796,0.0045681093,0.04643263,0.0034423407917383822,0.06896551724137931,0.049453467,0.38402838,True,Tumor vs Normal,Tumor,Normal
IGHV1-18,0.9606,0.03939999999999999,3.1937920295299222,1.8101547e-06,1.0313928e-05,1e-07,0.5,-3.0729918,-3.1360688,1.5505363,-8.44024,3.278534,0.00542555,0.0,0.0051635111876075735,0.0,0.05133101,0.0,True,Tumor vs Normal,Tumor,Normal
IGHV2-5,0.9416,0.05840000000000001,2.780264505499244,4.4313288e-07,2.7221135e-06,1e-07,0.5,-2.9885316,-3.0362883,1.7192011,-8.358881,5.061491,0.0,0.036219582,0.0,0.034482758620689655,0.0,0.36561912,True,Tumor vs Normal,Tumor,Normal
TRGV3,0.9451999999999999,0.05480000000000007,2.847706179456818,2.548599e-07,1.4186347e-06,1e-07,0.5,-2.9872837,-3.105712,1.6773763,-8.7910385,3.8933086,0.00030312198,0.0,0.0017211703958691911,0.0,0.002106312,0.0,True,Tumor vs Normal,Tumor,Normal
IGKV4-1,0.9544,0.045599999999999974,3.041174945442932,2.7925814e-06,1.43171565e-05,1e-07,0.5,-2.9513779,-3.1325178,1.5406629,-6.975069,3.4586115,0.004724147,0.017987993,0.0068846815834767644,0.034482758620689655,0.04075814,0.14763354,True,Tumor vs Normal,Tumor,Normal
PTOV1-AS2,0.9443999999999999,0.055600000000000094,2.832366434687454,5.081896e-07,2.5165132e-06,1e-07,0.5,-2.883682,-2.9080038,1.633568,-7.325262,2.6070347,0.0,0.020708112,0.0,0.034482758620689655,0.0,0.17006446,True,Tumor vs Normal,Tumor,Normal
ZNF469,0.9448,0.05520000000000003,2.840010141024949,4.312317e-06,4.5208446e-07,1e-07,0.5,2.8807476,2.8954964,1.5091468,-2.5222816,7.7969217,0.010757825,0.0,0.020654044750430298,0.0,0.08596046,0.0,True,Tumor vs Normal,Tumor,Normal
ADAMTSL1,0.9382,0.061799999999999966,2.7200596302771367,6.2731283e-06,4.2867247e-05,1e-07,0.5,-2.7765682,-2.817646,1.8277413,-10.232365,4.4333897,0.021077186,0.060881507,0.037865748709122224,0.034482758620689655,0.16818622,0.5800746,True,Tumor vs Normal,Tumor,Normal
BMX,0.942,0.05800000000000005,2.7875621022318757,1.8831894e-05,0.0001100653,1e-07,0.5,-2.7532878,-2.7452946,1.6097006,-11.473037,2.7019997,0.04273362,0.20851745,0.06884681583476769,0.24137931034482762,0.34217304,1.7849228,True,Tumor vs Normal,Tumor,Normal
MTRNR2L1,0.942,0.05800000000000005,2.7875621022318757,7.81494e-06,1.3439159e-05,1e-07,0.5,-2.7504413,-3.0432472,2.4240093,-8.638517,6.464016,0.016775807,0.0,0.032702237521514646,0.0,0.12623873,0.0,True,Tumor vs Normal,Tumor,Normal
ST8SIA6,0.9376,0.06240000000000001,2.7097579938564973,2.0003213e-06,1.0462064e-05,1e-07,0.5,-2.6760817,-2.6525269,1.6046413,-9.949144,3.0173607,0.0016800794,0.020502135,0.0051635111876075735,0.034482758620689655,0.011596196,0.17047395,True,Tumor vs Normal,Tumor,Normal
PRH1,0.9428000000000001,0.05719999999999992,2.8023001084577692,3.2028809e-06,1.5376389e-05,1e-07,0.5,-2.4482222,-2.3352404,1.4028718,-8.4703865,2.455186,0.0068818517,0.020708112,0.008605851979345956,0.034482758620689655,0.05553206,0.17006446,True,Tumor vs Normal,Tumor,Normal
EZH2,0.9386,0.06140000000000001,2.7269794159949496,1.9914927e-05,4.044034e-06,1e-07,0.5,2.1782126,2.1269245,1.1697605,-3.5090666,6.6881084,0.026389053,0.0,0.0671256454388985,0.0,0.19337448,0.0,True,Tumor vs Normal,Tumor,Normal
GNPNAT1,0.9388,0.06120000000000003,2.7304551217118043,3.8004815e-05,9.0704425e-06,1e-07,0.5,1.9485646,1.9608083,0.982803,-2.123848,5.175332,0.05579088,0.0,0.11531841652323589,0.0,0.4406986,0.0,True,Tumor vs Normal,Tumor,Normal
PDF,0.9554,0.04459999999999997,3.0643960281814424,9.639764e-06,4.5783686e-06,1e-07,0.5,-1.3474202,0.45232582,3.6714425,-9.158466,4.8554716,0.014112408,0.0,0.025817555938037876,0.0,0.11143519,0.0,True,Tumor vs Normal,Tumor,Normal
PDE4C,0.94,0.06000000000000005,2.751535157013593,1.2017375e-05,1.3126489e-06,1e-07,0.5,0.5096495,0.026075363,3.5392838,-9.337372,9.999358,0.01836816,0.0,0.030981067125645453,0.0,0.12107151,0.0,True,Tumor vs Normal,Tumor,Normal
