names,scores,logfoldchanges,pvals,pvals_adj,Cell_Type
CD83,11.846607,1.7197858,2.2408056957127435e-32,1.9298939054326e-30,CD4+ T Cells
BIN2,11.823486,0.84632176,2.951761814804726e-32,2.5122965704946815e-30,CD4+ T Cells
SELPLG,11.766695,0.84102625,5.795079728849017e-32,4.9034507951296154e-30,CD4+ T Cells
VCP,11.749135,0.7471845,7.134522574365238e-32,5.967017753091943e-30,CD4+ T Cells
BATF,11.710778,0.8329713,1.1224481105029172e-31,9.333736615440637e-30,CD4+ T Cells
OCIAD2,11.388736,0.5185792,4.7584568078740606e-30,3.889836810911287e-28,CD4+ T Cells
TAGAP,11.370083,0.57241905,5.893140442384005e-30,4.790328598924392e-28,CD4+ T Cells
NEU1,11.278718,1.4272174,1.671647089075442e-29,1.3437256517684761e-27,CD4+ T Cells
BRD2,11.272499,0.53734237,1.794035354045285e-29,1.4341379855072501e-27,CD4+ T Cells
ID2,11.11171,0.5887515,1.1003269880585403e-28,8.699798464600557e-27,CD4+ T Cells
ZC3H12A,10.977569,1.127771,4.899341298988352e-28,3.831814554327701e-26,CD4+ T Cells
TIMP1,10.964294,0.97757584,5.674142852859487e-28,4.413934028926017e-26,CD4+ T Cells
PPP1CA,10.902768,0.6152167,1.1180315615477e-27,8.559152732292947e-26,CD4+ T Cells
CDC37,10.874835,0.5443466,1.5193023100115203e-27,1.1569886907135097e-25,CD4+ T Cells
LGALS3,10.854904,0.61470425,1.890049213840029e-27,1.4317864960759886e-25,CD4+ T Cells
YWHAQ,10.839094,0.559752,2.2468521531307372e-27,1.6932137397733664e-25,CD4+ T Cells
ARRB2,10.823778,0.7263905,2.6559769953604614e-27,1.9911570541901822e-25,CD4+ T Cells
UPP1,10.777709,1.1959558,4.386768807334521e-27,3.2549824550422144e-25,CD4+ T Cells
CSRNP1,10.693168,0.6662306,1.0956374602508638e-26,8.047095640796826e-25,CD4+ T Cells
GNB2,10.6184,0.5735544,2.4472111373111186e-26,1.7704348972877286e-24,CD4+ T Cells
PPP1R18,10.607917,0.5853861,2.7378499725484257e-26,1.9708433459106056e-24,CD4+ T Cells
CCDC85B,10.55867,0.54551566,4.6317570579574643e-26,3.317667963939928e-24,CD4+ T Cells
TBC1D10C,10.396689,0.55425936,2.566972955710171e-25,1.8117820339595348e-23,CD4+ T Cells
NME2,10.388121,0.851089,2.8083123007866695e-25,1.9724985767030255e-23,CD4+ T Cells
ANXA2,10.356708,0.8634,3.901604985201922e-25,2.688205834804124e-23,CD4+ T Cells
IFRD1,10.311122,0.9723217,6.276413780980023e-25,4.2635413613615e-23,CD4+ T Cells
BIN1,10.199058,0.71762836,2.0020590432445843e-24,1.3473391765909715e-22,CD4+ T Cells
ODC1,10.189851,0.7967432,2.2010125553591293e-24,1.4743727159023725e-22,CD4+ T Cells
PSMB8,10.134277,0.5037168,3.892412158599665e-24,2.536905924449484e-22,CD4+ T Cells
PLK3,10.094636,0.7929048,5.8347101733646e-24,3.7355053760359467e-22,CD4+ T Cells
ZFAND5,9.983672,0.6459719,1.7969102428633773e-23,1.1453521719819474e-21,CD4+ T Cells
DDIT3,9.974825,1.1141307,1.9644853173905262e-23,1.2466727218124352e-21,CD4+ T Cells
PLP2,9.927383,0.5064642,3.1645140353044104e-23,1.9651224711081335e-21,CD4+ T Cells
ZYX,9.907952,0.64267546,3.8444568892952137e-23,2.377155843214207e-21,CD4+ T Cells
CDC42EP3,9.888585,0.7600676,4.665775144525628e-23,2.8727276836655874e-21,CD4+ T Cells
PNP,9.85694,0.8750485,6.396903718813794e-23,3.921898301165966e-21,CD4+ T Cells
SNHG12,9.68021,0.68023574,3.6596449899529198e-22,2.197153666374639e-20,CD4+ T Cells
RCSD1,9.639758,0.5228241,5.431605560378475e-22,3.2077510552292306e-20,CD4+ T Cells
TUBA1C,9.617561,1.2590808,6.741014635535923e-22,3.932892772643922e-20,CD4+ T Cells
TOB1,9.563325,0.7551785,1.1403280522653863e-21,6.547383566757094e-20,CD4+ T Cells
PGAM1,9.507363,0.55774957,1.955563140481911e-21,1.1183811493925997e-19,CD4+ T Cells
PIM2,9.478468,0.7089811,2.5804409900032386e-21,1.4641725758571316e-19,CD4+ T Cells
RALY,9.413938,0.5887087,4.778911484815196e-21,2.669732443003516e-19,CD4+ T Cells
CD82,9.386153,0.8883452,6.223161149634142e-21,3.449920255710973e-19,CD4+ T Cells
P4HB,9.273177,0.63282126,1.8068269721471507e-20,9.865275267923442e-19,CD4+ T Cells
CAPN2,9.248275,1.0522892,2.2814609340337716e-20,1.2363467511061664e-18,CD4+ T Cells
NFKBIZ,9.211531,0.5507133,3.2150624989261157e-20,1.7293211634558351e-18,CD4+ T Cells
RBKS,9.167069,2.0071208,4.8605101330356465e-20,2.566668653828203e-18,CD4+ T Cells
PSAP,9.111246,0.546167,8.144105983163306e-20,4.269459038782241e-18,CD4+ T Cells
SH2D2A,9.006572,0.5160608,2.1259750583124922e-19,1.1025352372302311e-17,CD4+ T Cells
DNPH1,8.96831,0.7017447,3.010965688211251e-19,1.550379449919167e-17,CD4+ T Cells
MDH2,8.956347,0.50502264,3.35611423680106e-19,1.7219722302225015e-17,CD4+ T Cells
TRADD,8.949882,0.7574642,3.558629794630601e-19,1.8130216372714847e-17,CD4+ T Cells
CAPG,8.925525,0.6933842,4.435922125007071e-19,2.2363539103389303e-17,CD4+ T Cells
GATA3,8.901359,0.7161397,5.516724452980097e-19,2.7715793788253138e-17,CD4+ T Cells
LPIN2,8.814524,0.6252257,1.2019545358865147e-18,6.017674802678887e-17,CD4+ T Cells
DPP7,8.8112135,0.5245321,1.2379847287071776e-18,6.176690013677294e-17,CD4+ T Cells
CD5,8.7905035,0.54348755,1.488911921392627e-18,7.403115666883133e-17,CD4+ T Cells
DOK2,8.753866,0.7276817,2.0616514456951455e-18,1.0215765331425705e-16,CD4+ T Cells
PASK,8.687927,0.67306745,3.691125839088375e-18,1.816561216522779e-16,CD4+ T Cells
SYNGR2,8.619779,0.59015924,6.708373338673141e-18,3.257162880445023e-16,CD4+ T Cells
ABHD14B,8.574815,0.5146282,9.924623787227712e-18,4.770743573999925e-16,CD4+ T Cells
NUCB1,8.538005,0.69746023,1.3655894715519363e-17,6.457096099308813e-16,CD4+ T Cells
PLIN2,8.470875,0.8565402,2.4355707493150995e-17,1.147891634261895e-15,CD4+ T Cells
RHOF,8.441793,0.6139543,3.125060211083472e-17,1.44924667288996e-15,CD4+ T Cells
TNIP1,8.3948145,0.7250593,4.666307174940842e-17,2.1502165131916893e-15,CD4+ T Cells
H2AFJ,8.308585,0.83008397,9.684978154251348e-17,4.434555345375404e-15,CD4+ T Cells
LMNA,8.298717,0.82459867,1.0524188789360499e-16,4.788505899159026e-15,CD4+ T Cells
RGS19,8.292746,0.7367744,1.1066368857762446e-16,5.019413511064728e-15,CD4+ T Cells
GPI,8.274152,0.6681056,1.2937294985753838e-16,5.849678785902259e-15,CD4+ T Cells
FAM118A,8.24614,0.9629079,1.6359404171433356e-16,7.373963207366643e-15,CD4+ T Cells
CCDC107,8.21555,0.5463638,2.1119352883815414e-16,9.489935306705751e-15,CD4+ T Cells
IER3,8.035852,1.4465295,9.293024353250587e-16,4.025771537939603e-14,CD4+ T Cells
CTSB,8.010695,0.5758692,1.1406179516133866e-15,4.911786054135146e-14,CD4+ T Cells
OXA1L,8.009664,0.5402003,1.1502252262334239e-15,4.938459584086472e-14,CD4+ T Cells
GALM,7.99773,0.8850212,1.267342911461471e-15,5.425202540217758e-14,CD4+ T Cells
SGK1,7.9943876,1.13814,1.3021922756223658e-15,5.557941013563426e-14,CD4+ T Cells
SIT1,7.9517746,0.5894326,1.838588364639232e-15,7.824275014107366e-14,CD4+ T Cells
CTSH,7.9240193,1.2813177,2.2995365415532467e-15,9.728653280623955e-14,CD4+ T Cells
MTHFD2,7.9056516,0.9424537,2.6653543892047515e-15,1.1243443923441268e-13,CD4+ T Cells
YWHAH,7.8993087,0.6635584,2.8045500864226627e-15,1.1796231162921369e-13,CD4+ T Cells
TRABD,7.8379846,0.6363093,4.578360453596894e-15,1.9090575620488028e-13,CD4+ T Cells
SASH3,7.836836,0.678986,4.620413435577766e-15,1.9155519197528566e-13,CD4+ T Cells
PIM1,7.679215,0.5544331,1.6006668422794988e-14,6.433346816928353e-13,CD4+ T Cells
RBBP6,7.666414,0.5301655,1.7687167652832012e-14,7.089075589164166e-13,CD4+ T Cells
UBE2S,7.6588507,0.50583893,1.8760463595841332e-14,7.498484744978681e-13,CD4+ T Cells
RAB1B,7.509221,0.6395421,5.948028050690624e-14,2.338641789821811e-12,CD4+ T Cells
GLUD1,7.4345937,0.82321805,1.0488998069168062e-13,4.101765217913316e-12,CD4+ T Cells
TAP1,7.404459,0.5326207,1.3168600829017064e-13,5.121948532124943e-12,CD4+ T Cells
HMOX2,7.3839593,0.5709978,1.536503920905813e-13,5.92844672842299e-12,CD4+ T Cells
RHBDD2,7.3728704,0.77334654,1.6699250948959828e-13,6.426102712247334e-12,CD4+ T Cells
LGALS1,7.3581505,0.6514425,1.8647587322816208e-13,7.1568154104463585e-12,CD4+ T Cells
TUBB2A,7.341646,1.2293261,2.109823534991932e-13,8.075935642274673e-12,CD4+ T Cells
MYLIP,7.198105,0.55207366,6.105524193525236e-13,2.324758672529385e-11,CD4+ T Cells
PDCD1,7.1722,1.2378538,7.380196380687989e-13,2.7880955987512928e-11,CD4+ T Cells
TWF2,7.1605506,0.6715971,8.035374946200574e-13,3.012016582812852e-11,CD4+ T Cells
RNF166,7.1423955,0.76339114,9.171830327819394e-13,3.411496478488915e-11,CD4+ T Cells
SNX17,7.1056547,0.6102925,1.1975353638043537e-12,4.442856199714152e-11,CD4+ T Cells
SOCS3,7.064538,0.5928535,1.6115131464433407e-12,5.933074736867353e-11,CD4+ T Cells
GZMA,7.048515,0.7430499,1.808372261716682e-12,6.640948795629105e-11,CD4+ T Cells
NGRN,7.0294666,1.03241,2.0732439944805453e-12,7.575193776802781e-11,CD4+ T Cells
OPTN,7.023254,0.5671428,2.16760017860905e-12,7.880152508616669e-11,CD4+ T Cells
TNFRSF18,6.9592686,0.94654334,3.420442002690927e-12,1.2245697110324142e-10,CD4+ T Cells
EIF4H,6.9589705,0.528863,3.4276780217577427e-12,1.2245697110324142e-10,CD4+ T Cells
GBP5,6.901818,0.863066,5.134126331602639e-12,1.816275645280161e-10,CD4+ T Cells
MARCKSL1,6.8560433,0.6853104,7.0793896917300555e-12,2.48018618522136e-10,CD4+ T Cells
FBXW5,6.8399196,0.77439636,7.923773457421638e-12,2.7626283892875584e-10,CD4+ T Cells
IL10RA,6.8300986,0.55849993,8.485614333410274e-12,2.951402735339261e-10,CD4+ T Cells
UBE2L6,6.8108935,0.50781524,9.699429404796831e-12,3.3414534299525083e-10,CD4+ T Cells
EIF4A3,6.782086,0.5259036,1.1845296935107796e-11,4.071011908647855e-10,CD4+ T Cells
ANKRD10,6.779183,0.8211197,1.2085750102652756e-11,4.143808488987743e-10,CD4+ T Cells
RGS16,6.771837,1.9936827,1.2715705837294724e-11,4.349492854842018e-10,CD4+ T Cells
SEPHS2,6.7683306,1.578947,1.3027666744688282e-11,4.445691276624876e-10,CD4+ T Cells
CTSA,6.766087,0.7445059,1.3231203948030268e-11,4.504524468801175e-10,CD4+ T Cells
PLK2,6.75998,1.8635026,1.3801047254448621e-11,4.676518799171361e-10,CD4+ T Cells
CD58,6.6545086,0.840272,2.8424775537595118e-11,9.368521121946783e-10,CD4+ T Cells
SELL,6.6376963,0.64246404,3.1862347854361804e-11,1.0406688738256454e-09,CD4+ T Cells
RNF126,6.6101246,0.65590304,3.839962309643579e-11,1.2457492075836983e-09,CD4+ T Cells
H2AFY,6.576625,0.53602654,4.8124728436489515e-11,1.5439394584203256e-09,CD4+ T Cells
BTG3,6.5566993,0.5499446,5.501184930761415e-11,1.74937680798213e-09,CD4+ T Cells
DEDD2,6.5285745,0.6258747,6.639853174596551e-11,2.1022327261102295e-09,CD4+ T Cells
SNAP23,6.5195465,0.9900926,7.05203806290834e-11,2.2181725811352338e-09,CD4+ T Cells
DDX39A,6.5071683,0.6734175,7.658065238814326e-11,2.3880290073363035e-09,CD4+ T Cells
AHSA1,6.4802585,0.539304,9.156551908231357e-11,2.8430504197467705e-09,CD4+ T Cells
LIME1,6.4766216,0.7067901,9.379891522355393e-11,2.9061595382646717e-09,CD4+ T Cells
S1PR4,6.425905,0.749421,1.31087114631727e-10,4.009935436800122e-09,CD4+ T Cells
TKT,6.3378496,0.5341502,2.32994093854343e-10,6.936608115182076e-09,CD4+ T Cells
MXD1,6.3230495,1.423683,2.5645091997470863e-10,7.572629308396039e-09,CD4+ T Cells
HIST3H2A,6.2949862,1.596458,3.074271013654415e-10,9.059394561418682e-09,CD4+ T Cells
SDF4,6.2879386,0.5107305,3.217092736882323e-10,9.422695305657963e-09,CD4+ T Cells
RELB,6.252766,0.61701894,4.0324541331457005e-10,1.1739553089031216e-08,CD4+ T Cells
PERP,6.245931,0.8735231,4.2128257063332767e-10,1.2215506041069375e-08,CD4+ T Cells
IDH2,6.2449636,0.5385309,4.2389907305656926e-10,1.2266791376111e-08,CD4+ T Cells
FAM129A,6.1863112,0.6811168,6.158836812535022e-10,1.750731038125132e-08,CD4+ T Cells
TMBIM1,6.1722636,0.9275358,6.731915287445976e-10,1.9061464245412097e-08,CD4+ T Cells
LYAR,6.1650405,0.88222295,7.046516290626869e-10,1.987447255537625e-08,CD4+ T Cells
FBLN7,6.1630864,0.8166144,7.134057741820565e-10,2.008223374832719e-08,CD4+ T Cells
FDFT1,6.1384497,0.6682487,8.333062077942055e-10,2.3411859263251186e-08,CD4+ T Cells
TSC22D4,6.128249,0.5229668,8.885141348375775e-10,2.4818361036611792e-08,CD4+ T Cells
ICAM1,6.026654,2.0644653,1.6738915725250526e-09,4.569723992993394e-08,CD4+ T Cells
GLA,6.0122895,1.2902142,1.8292107764906775e-09,4.974971940797671e-08,CD4+ T Cells
HNRNPLL,5.991803,0.6026634,2.0752709125941986e-09,5.602069931777138e-08,CD4+ T Cells
PIM3,5.9652443,0.5701052,2.442680342201021e-09,6.532928257173118e-08,CD4+ T Cells
SNHG15,5.9545546,0.5272758,2.60781126414603e-09,6.91069984998698e-08,CD4+ T Cells
DECR1,5.9179044,0.6054649,3.260698373984328e-09,8.579810337661322e-08,CD4+ T Cells
IER5,5.910149,0.52152586,3.417978671864123e-09,8.959190833913404e-08,CD4+ T Cells
JAML,5.908969,0.5246948,3.4425571644671967e-09,9.007298302473031e-08,CD4+ T Cells
ABHD5,5.8893757,1.1916385,3.8765753997054195e-09,1.0070048376721314e-07,CD4+ T Cells
DUSP4,5.8705745,1.259588,4.342875422736097e-09,1.1180972329460602e-07,CD4+ T Cells
HSPA4,5.863692,0.72740334,4.526879384896368e-09,1.1633999612800274e-07,CD4+ T Cells
NARF,5.8425193,0.85916775,5.141727985546266e-09,1.312092808163473e-07,CD4+ T Cells
RNF187,5.8348494,0.6264433,5.383920783731003e-09,1.3690676593990137e-07,CD4+ T Cells
CCL20,5.788211,0.9068178,7.11400804725899e-09,1.7963801472214716e-07,CD4+ T Cells
RNF10,5.7518425,0.585926,8.827614400391621e-09,2.2059888214035643e-07,CD4+ T Cells
PHLDA1,5.7203865,0.60706466,1.0628192111031301e-08,2.6468039871688795e-07,CD4+ T Cells
ITGB1,5.71587,0.6274258,1.0914428028863728e-08,2.7134168238767915e-07,CD4+ T Cells
MAP4K1,5.617074,0.60790354,1.9421846189647068e-08,4.754901734653188e-07,CD4+ T Cells
C12orf75,5.538871,0.8924364,3.0442822200196806e-08,7.292668781699463e-07,CD4+ T Cells
MAFF,5.529207,1.2211125,3.216815629813949e-08,7.655280484831912e-07,CD4+ T Cells
RUNX2,5.520883,0.60720366,3.372999766301603e-08,7.987550510412094e-07,CD4+ T Cells
DBNL,5.5085797,0.58507776,3.617407770791477e-08,8.538380593080241e-07,CD4+ T Cells
TEX264,5.506099,0.5346069,3.668719726729913e-08,8.645391812061092e-07,CD4+ T Cells
SERPINH1,5.5003486,1.7985363,3.7904075853505543e-08,8.888720802664048e-07,CD4+ T Cells
ETHE1,5.474133,0.5090015,4.396585916737195e-08,1.0210947292017733e-06,CD4+ T Cells
FAS,5.4663568,0.64533997,4.593789557294372e-08,1.0634806576718762e-06,CD4+ T Cells
ID3,5.4507937,0.91092944,5.0145453944942834e-08,1.1590328644239265e-06,CD4+ T Cells
BCL3,5.443919,0.9319468,5.2120935337005025e-08,1.2008563907502001e-06,CD4+ T Cells
HMGN4,5.440899,0.7035448,5.301239611930603e-08,1.2156610973540262e-06,CD4+ T Cells
STARD3,5.4408884,0.74402,5.301556102221235e-08,1.2156610973540262e-06,CD4+ T Cells
ADIPOR1,5.408848,0.53307724,6.343152200794747e-08,1.4385434042836863e-06,CD4+ T Cells
MYO1G,5.4068007,0.6545409,6.41604708128819e-08,1.4505278940493567e-06,CD4+ T Cells
GADD45G,5.3872924,1.0594333,7.152699449478271e-08,1.6070249741382159e-06,CD4+ T Cells
KPNA2,5.386689,0.881085,7.176746691891929e-08,1.6099278741858034e-06,CD4+ T Cells
ASXL1,5.384876,0.5484897,7.24946634952464e-08,1.6237233531156657e-06,CD4+ T Cells
SYTL1,5.3510065,0.5093668,8.746647897127396e-08,1.9440130326196052e-06,CD4+ T Cells
CDC25B,5.346758,1.116698,8.9543621224072e-08,1.984083699067531e-06,CD4+ T Cells
MYC,5.345995,0.7316018,8.992169964250266e-08,1.989414483375185e-06,CD4+ T Cells
PMVK,5.328191,0.692644,9.919585644404931e-08,2.1845735873499993e-06,CD4+ T Cells
DCTN2,5.3270903,0.5503094,9.979859283197994e-08,2.194507355145772e-06,CD4+ T Cells
NCF4,5.249108,0.8284607,1.52837613157083e-07,3.3055417410610377e-06,CD4+ T Cells
CNPPD1,5.24873,0.7094486,1.531510948803125e-07,3.307377898243644e-06,CD4+ T Cells
KLF10,5.2451253,1.4567363,1.561761134701384e-07,3.357670409805992e-06,CD4+ T Cells
OS9,5.224604,0.59521,1.7452800963939295e-07,3.7300528382162135e-06,CD4+ T Cells
GCHFR,5.191043,0.5840525,2.0911927912291678e-07,4.430083235182259e-06,CD4+ T Cells
MAP7D1,5.182525,0.54135907,2.1890185901573097e-07,4.630542394881011e-06,CD4+ T Cells
GDI1,5.1792417,0.519833,2.2278947129151993e-07,4.705899065864236e-06,CD4+ T Cells
GBP2,5.1725583,0.62098014,2.3091037697454797e-07,4.849117916465507e-06,CD4+ T Cells
